Entry_Date(YYYY-MM-DD),Symbol,Entry_Price,Buy/Sell,Target(20%),Stoploss,P_L,ROI,Exit_Price,Status,Exit_Date(YYYY-MM-DD)

2024-01-02,MANORAMA,2053.75,Buy,2464.5,1881.0,-182.0,-8.861838101034692,2464.5,Stoploss Hit,2024-01-31
2024-01-09,ESSENTIA,12.85,Buy,15.419999999999998,10.5,-6.449999999999999,-50.19455252918287,15.419999999999998,Stoploss Hit,2024-01-11
2024-02-07,MARSHALL,44.05,Buy,52.85999999999999,38.55,-5.649999999999999,-12.826333711691259,52.85999999999999,Stoploss Hit,2024-02-27
2024-03-15,AKZOINDIA,2394.9,Buy,2873.88,2267.0,478.98,20.0,2873.88,Target Reached,2024-06-20
2024-03-15,ARCHIDPLY,87.3,Buy,104.75999999999999,76.15,17.459999999999994,19.999999999999993,104.75999999999999,Target Reached,2024-04-04
2024-03-15,RELINFRA,237.5,Buy,285.0,181.6,47.5,20.0,285.0,Target Reached,2024-03-22
2024-04-02,MTNL,35.55,Buy,42.66,32.45,7.109999999999999,20.0,42.66,Target Reached,2024-06-11
2024-04-02,SHYAMCENT,18.35,Buy,22.02,16.6,-1.8500000000000014,-10.081743869209816,22.02,Stoploss Hit,2024-06-04
2024-05-18,TARC,159.4,Buy,191.28,146.8,31.879999999999995,19.999999999999996,191.28,Target Reached,2024-06-13
2024-06-06,BBTC,1523.45,Buy,1828.14,1318.2,304.69000000000005,20.000000000000004,1828.14,Target Reached,2024-06-24
2024-06-06,MANGCHEFER,110.75,Buy,132.9,94.4,22.150000000000006,20.000000000000004,132.9,Target Reached,2024-06-20
2024-06-06,NDL,45.8,Buy,54.959999999999994,36.1,9.159999999999997,19.999999999999993,54.959999999999994,Target Reached,2024-06-19
2024-06-06,ROSSELLIND,448.2,Buy,537.8399999999999,363.6,89.63999999999993,19.999999999999986,537.8399999999999,Target Reached,2024-06-24
2024-06-07,SHAHALLOYS,59.45,Buy,71.34,51.95,11.89,20.0,71.34,Target Reached,2024-06-18
