Entry_Date(YYYY-MM-DD),Symbol,Entry_Price,Buy/Sell,Target,Stoploss,P_L,ROI,Exit_Price,Status,Exit_Date(YYYY-MM-DD)

2024-01-09,SHREERAMA,28.6,Sell,25.740000000000002,31.35,-4.199999999999996,-14.685314685314669,32.8,Stoploss Hit,2024-02-02
2024-01-17,SHIVALIK,689.15,Sell,620.235,774.5,68.91499999999996,9.999999999999995,616.35,Target Reached,2024-02-27
2024-02-08,ASTRAZEN,6569.95,Sell,5912.955,7220.95,656.9949999999999,9.999999999999998,5722.35,Target Reached,2024-02-09
2024-02-21,URJA,24.5,Sell,22.05,27.7,2.4499999999999993,9.999999999999998,21.9,Target Reached,2024-02-29
2024-02-28,IITL,216.2,Sell,194.57999999999998,244.0,21.620000000000005,10.000000000000002,207.5,Target Reached,2024-03-02
2024-03-06,WEALTH,480.3,Sell,432.27000000000004,571.95,-106.15000000000003,-22.100770351863424,586.45,Stoploss Hit,2024-03-15
2024-03-12,BIOFILCHEM,62.7,Sell,56.43000000000001,74.15,6.269999999999996,9.999999999999993,56.3,Target Reached,2024-03-13
2024-03-13,ELECTHERM,571.15,Sell,514.035,594.7,57.11500000000001,10.000000000000002,526.65,Target Reached,2024-03-21
2024-05-17,INDSWFTLTD,20.8,Sell,18.720000000000002,21.65,-1.0999999999999979,-5.288461538461528,21.9,Stoploss Hit,2024-05-23
2024-05-23,AZAD,1393.65,Sell,1254.285,1544.2,-151.75,-10.888673626807304,1545.4,Stoploss Hit,2024-06-03
2024-05-28,SDBL,124.65,Sell,112.185,148.9,12.465000000000003,10.000000000000004,118.95,Target Reached,2024-06-04
