SYMBOL,DATE,STOP_LOSS,VOLUME_PERCENT,RED_BODY_PERCENT

SHREERAMA,09-Jan-2024,31.35,239.33643239771234,-100.0
DSPN50ETF,17-Jan-2024,254.0,164.71348556656613,-24.633333333333287
SHIVALIK,17-Jan-2024,774.5,116.3641998691415,-46.506024096385566
ASTRAZEN,08-Feb-2024,7220.95,662.2362869198312,-45.611702127659576
URJA,21-Feb-2024,27.7,40.23495022654974,-75.00000000000017
IITL,28-Feb-2024,244.0,975.1901840490798,-80.4772234273319
WEALTH,06-Mar-2024,571.95,482.77867965367966,-97.22838137472277
BIOFILCHEM,12-Mar-2024,74.15,1107.866556140143,-81.08108108108102
ELECTHERM,13-Mar-2024,594.7,78.92984403294585,-100.0
INDSWFTLTD,17-May-2024,21.65,44.48856496607188,-66.66666666666667
AZAD,23-May-2024,1544.2,134.94947685991968,-63.16639741518584
SDBL,28-May-2024,148.9,1317.3379914608272,-62.857142857142904
